日期區間,區域別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
100-103,新北市,2930,1936,387,385,240,27,127,7,45,0,1,34,243,13,79,3,0,-597
100-103,臺北市,1241,1105,296,183,133,32,85,21,21,4,4,6,143,5,91,1,0,-889
100-103,臺中市,2131,788,257,435,410,-12,66,18,24,4,25,14,86,4,214,8,5,-215
100-103,臺南市,844,280,73,264,133,31,8,2,4,-2,1,4,53,0,22,2,3,-34
100-103,高雄市,1851,655,69,754,174,18,76,-262,5,-2,2,-4,80,-1,49,193,114,-69
100-103,宜蘭縣,909,208,761,18,51,11,17,5,4,-6,1,2,100,-3,15,0,0,-275
100-103,桃園縣,4396,2283,672,607,458,21,117,35,69,17,2,16,368,51,165,0,0,-485
100-103,新竹縣,1067,257,689,65,75,3,3,1,51,3,3,0,50,6,15,0,0,-154
100-103,苗栗縣,442,176,98,73,42,8,9,2,16,8,-3,3,17,0,18,0,0,-25
100-103,彰化縣,161,82,-1,55,8,14,0,0,7,-2,4,3,18,0,24,0,0,-51
100-103,南投縣,378,93,-379,25,138,-6,0,-7,2,1,2,2,17,1,496,0,0,-7
100-103,雲林縣,314,149,45,22,77,6,6,-11,8,2,0,0,16,1,6,0,0,-13
100-103,嘉義縣,236,53,2,26,58,2,13,80,5,-3,1,-1,3,0,9,0,0,-12
100-103,屏東縣,1254,153,43,899,70,314,11,-2,2,0,1,5,15,0,9,4,1,-271
100-103,臺東縣,-159,-137,46,225,110,46,199,4,2,147,1,0,16,-1,11,2,1,-831
100-103,花蓮縣,755,706,-29,120,239,11,36,4,13,2,0,14,755,134,116,0,0,-1366
100-103,澎湖縣,91,18,10,27,11,2,8,0,0,0,0,0,3,0,11,0,0,1
100-103,基隆市,253,175,74,30,0,1,9,-1,-1,0,-1,1,38,3,3,0,0,-78
100-103,新竹市,518,232,147,51,37,10,19,11,24,1,1,1,19,0,13,0,0,-48
100-103,嘉義市,39,14,0,15,3,3,6,-7,0,-1,0,2,8,2,0,0,0,-6
100-103,金門縣,340,179,46,36,25,8,8,6,9,0,1,1,14,1,3,0,1,2
100-103,連江縣,48,13,18,11,-4,0,0,4,2,1,0,0,5,0,0,0,0,-2
